timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
4219,19,-6.795372694221442,197,-10.815951286637652,210.95,0,4.46182837804533,5.946668182127178,4.635197784598603,0.7794613122235029,0.0,1.5808490501497812,0.42613840308420514
4469,20,-15.735437810362782,250,-11.050212549672183,212.8095238095238,0,8.04294308796178,7.261310300434714,3.7644807039413077,0.518429945586534,0.0,2.4048329634311503,0.407510721993382
4719,21,-14.258286434560432,250,-11.196034089894376,214.5,0,4.563391378235225,7.090662650158636,1.3764431006062088,0.19412051715299333,0.0,2.1730236748208185,0.40752437225277405
4969,22,-13.826305595022859,250,-11.310393720552137,216.04347826086956,0,4.191230080529696,7.640700901160015,1.2878287473439578,0.16854850935840704,0.0,1.9744866609730534,0.3998840744700657
5155,23,-4.636977709538769,186,-11.032334720093246,214.79166666666666,0,2.1948825044578744,5.750589728006161,3.632814482078295,0.631729031961016,0.0,1.2141207222590589,0.41905601843688134
5405,24,-2.8716481871088035,250,-10.705907258773868,216.2,0,0.2054277084728821,7.6804326694807985,2.8210057739965353,0.3672977676382959,0.0,1.1257449554575307,0.38962005743996264
5655,25,-6.946526118044858,250,-10.561315676438138,217.5,0,1.3544970708359716,7.640983969964146,1.6378000294690205,0.2143441258229345,0.0,1.536339203468407,0.37412208804732605
5905,26,-6.459832428278787,250,-10.409408889469272,218.7037037037037,0,2.342864082372799,7.462279043483433,3.075103445498739,0.41208636498043144,0.0,1.4292576325813575,0.39788065824599705
6155,27,0.03587476068059914,250,-10.036363044821062,219.82142857142858,0,1.3165841778264757,7.218710567150263,4.75021773480507,0.6580424150015919,0.0,1.0137708006609008,0.38190658976245356
6364,28,-19.2269930485636,209,-10.353281320812185,219.44827586206895,0,7.409433463911793,6.124613603937907,1.3942031959054804,0.22763937222244646,0.0,2.9875972389961545,0.4383235777965568
6614,29,-9.188642805114796,250,-10.314460036955605,220.46666666666667,0,3.5457174198848627,7.2312280618411,2.414059856856816,0.333838158084892,0.0,1.7792490721525864,0.4087352568076093
6864,30,-2.967378730943892,250,-10.077457414181033,221.41935483870967,0,0.7163428667135191,7.383493128465481,3.275791014148977,0.4436641244399435,0.0,1.1690634117844247,0.40128821632020684
7114,31,-3.0335189407342114,250,-9.85733433688582,222.3125,0,1.2005081458834266,7.56283134967671,3.532582407872918,0.4670978691100822,0.0,1.1813048052316606,0.38750752122852067
7293,32,13.34220159391407,179,-9.154318096558551,221.0,1,0.19461578983216546,5.163352216884957,4.644060252968459,0.8994273599584524,0.0,0.4275392200695107,0.40728516051849206
7476,33,11.700650504790246,183,-8.540936667107117,219.88235294117646,1,0.19002409264153997,5.294318960708912,4.078539219870576,0.7703614478347292,0.0,0.4919695287639989,0.404211005408977
7726,34,-7.882389874037472,250,-8.522121044447983,220.74285714285713,0,1.4846905645030883,7.211089532065675,1.3995711520398726,0.19408594856801814,0.0,1.6415627333500808,0.39483168250114387
7976,35,-4.601124550848908,250,-8.413204475181342,221.55555555555554,0,2.2477287229738705,7.264989999413963,3.550840499560727,0.48876054885790055,0.0,1.4013473165882315,0.40271311696716044
8226,36,-3.0288342412532074,250,-8.267680955345446,222.32432432432432,0,1.6347450695976773,7.447628492687363,4.191645596804387,0.5628161502577709,0.0,1.0964125522465493,0.3644254389443401
8350,37,11.697321594227105,124,-7.742286151409327,219.73684210526315,1,0.1966355137014835,3.5145931967068473,2.900429878635374,0.8252533696796146,0.0,0.5601912832085362,0.3954295560687296
8600,38,-6.312549085396313,250,-7.705626226639763,220.51282051282053,0,1.0317741528992763,7.126925067929549,1.4989466305656725,0.21032164871646855,0.0,1.5149719154303,0.3962945331366785
