timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
500,0,-30.38025375001598,500,-30.38025375001598,500.0,0,6.407823065803988,4.978141126393168,1.5391678621979952,0.3091852607467508,0.0,2.96108597926912,0.13210005720763304
1000,1,-19.70678535477782,500,-25.0435195523969,500.0,0,3.609823593311199,4.951678000018003,1.964400597796395,0.3967141235333261,0.0,2.0143533739505157,0.14113508615426287
1500,2,-29.769697796087712,500,-26.61891230029384,500.0,0,8.021357983628699,5.034849449610917,3.7767672659941955,0.7501251633822054,0.0,2.6062761785339257,0.1391181430706142
2000,3,-27.175668498697632,500,-26.758101349894787,500.0,0,3.624965063786163,4.994713024253719,1.2440117705421516,0.24906571498730393,0.0,2.1923408713182653,0.1407086178795705
2500,4,-27.59616302070208,500,-26.925713684056245,500.0,0,4.748492866209393,5.032852213748269,2.678175160871847,0.5321386456681286,0.0,2.0012279796522976,0.13326374645473693
3000,5,-16.574018251490088,500,-25.200431111961887,500.0,0,4.116475522733318,5.047930459317288,3.467383106317193,0.6868920113424348,0.0,1.7045322972590091,0.13674524001952612
3500,6,-11.682326306397044,500,-23.26927328259548,500.0,0,2.6576422087488543,4.867390010549567,2.870841235630915,0.5898112190329237,0.0,1.5256845139391302,0.13716536067554053
4000,7,-29.922898353543133,500,-24.100976416463936,500.0,0,6.73993597061752,4.89751015659713,2.313160711093232,0.472313611841584,0.0,2.704845144516391,0.13287535324046026
4500,8,-17.256028740201145,500,-23.34042667465696,500.0,0,2.8194783168772157,5.057259853192948,1.7923419471963353,0.3544096999612792,0.0,1.7770862846379767,0.1353110022983329
5000,9,-29.444995248224586,500,-23.950883532013723,500.0,0,6.057269345325932,5.098931742808781,3.024121816622576,0.593089291867382,0.0,2.23362977766853,0.14268627760368202
5500,10,-2.586550835818798,500,-22.008671468723275,500.0,0,1.5206206997295415,5.028092289358032,3.9582640098645214,0.7872297845928954,0.0,1.0255450459021167,0.13537625613914456
6000,11,-20.960158071347905,500,-21.921295352275326,500.0,0,3.5558344368099175,4.790393094718464,1.271683774792066,0.2654654325120273,0.0,2.255110878486054,0.13729263773049882
6500,12,-28.710112732602283,500,-22.44351207383894,500.0,0,7.711788860002824,4.7986359090311455,4.479459964516556,0.9334861092682833,0.0,2.3526910274599904,0.13855524459491692
7000,13,-5.224015887507676,500,-21.213548060529565,500.0,0,2.8468782633414893,4.978818188371947,3.941646473386163,0.791683151353447,0.0,1.3370846265692533,0.13628360915874022
7075,14,-13.127338381658774,75,-20.67446741527151,471.6666666666667,0,2.334643613238366,0.798651376744965,3.03110285503199,3.795276566586222,0.0,0.5018607253572976,0.1582250049104914
