timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
500,0,-15.157147906415048,500,-15.157147906415048,500.0,0,2.663893893947509,10.386461901664726,2.805600626836982,0.27012091830686874,0.272,1.0254895384689335,0.8363912031502427
1000,1,-15.807902668209863,500,-15.482525287312455,500.0,0,1.7459889262714676,10.12987954765557,1.823637230813871,0.18002555926106037,0.252,1.2259369774717865,0.8383102787281563
1500,2,-13.823802654824249,500,-14.92961774314972,500.0,0,0.9736401147145404,9.905889198184008,1.6078935030763304,0.16231692793122465,0.234,0.8266949849846852,0.8215415849236544
2000,3,-13.469964634836742,500,-14.564704466071476,500.0,0,1.850724694373923,10.339045563340191,2.1272577770168817,0.20574991801560816,0.26,1.8042705940656827,0.8066975834493886
2500,4,-17.458520737156505,500,-15.14346772028848,500.0,0,3.5177880870246003,10.67084465622902,2.911670695439911,0.2728622512314661,0.258,1.7120995494189748,0.7984233251315558
3000,5,-14.235211202409118,500,-14.992091633975255,500.0,0,1.7116989859776013,10.003497263789178,1.9924375724012826,0.19917410080308018,0.244,2.5384580132948167,0.8220182250520748
3264,6,-34.684008218689996,264,-17.805222574648788,466.2857142857143,0,1.3754493134875736,5.298022444546227,1.4654861831211345,0.2766100367562057,0.23863636363636365,1.9925590632336225,0.8190908554388996
3764,7,-15.440784218943008,500,-17.509667780185566,470.5,0,3.7698064251417978,10.288400043547147,4.004021551224813,0.3891782526220997,0.242,2.5338375236419997,0.8653193749263435
4264,8,-13.67836401020395,500,-17.08396736129872,473.77777777777777,0,3.1324266389408635,9.904995319247252,3.7056623105217916,0.37412055140712674,0.246,1.2889032370061484,0.8104158306050158
4764,9,-12.674471059366624,500,-16.64301773110551,476.4,0,2.766087192889891,10.266579084098348,3.5546401451274994,0.34623413661062563,0.242,0.9150076322221696,0.8284784609784105
5264,10,-19.12259170535117,500,-16.868433546946026,478.54545454545456,0,1.4210417197063634,10.040405675768842,0.93407709722201,0.09303180841350649,0.22,2.295989510926918,0.8114444990315752
5593,11,-34.03573708322074,329,-18.299042174968918,466.0833333333333,0,3.58583141684822,7.270278379321104,4.04798991507189,0.5567860959197397,0.3009118541033435,1.798721198072795,0.8179583038862158
6093,12,-17.848641774675343,500,-18.26439599033095,468.6923076923077,0,1.5315437746005511,9.910518480837352,1.3221369557551406,0.1334074456660951,0.256,0.9380883654444587,0.807555286284678
6435,13,-20.16538428808417,342,-18.400180868741895,459.64285714285717,0,3.2364703353184923,6.5869530320167575,4.280499672852549,0.6498451791058192,0.27485380116959063,2.530119586282226,0.7732723403361536
6877,14,-24.878653283260064,442,-18.83207902970977,458.46666666666664,0,2.27378597230062,9.024095538258548,3.1578350465370058,0.34993368954806064,0.2850678733031674,2.778131085673995,0.7949257533566482
7377,15,-7.589031253581197,500,-18.129388543701737,461.0625,0,2.640160008561771,10.24382675886153,4.53565117396843,0.44276921903670596,0.306,2.56901543029456,0.8077677530133891
7877,16,-10.475755916059711,500,-17.679174859722792,463.3529411764706,0,3.290292115161656,9.313294711709018,4.381907634021376,0.47050026544443824,0.286,2.5722253208662713,0.8000788404970226
8377,17,-15.125025854329579,500,-17.537277692756504,465.3888888888889,0,1.644664112270873,10.103469817340365,1.7189454502193164,0.17013416987391083,0.27,2.1367230388455143,0.7846044251221216
8877,18,-18.38250940204307,500,-17.58176357219264,467.2105263157895,0,2.9016012021693562,10.536513710021964,2.2910124425079634,0.21743552996365698,0.214,1.8138336232281573,0.7563944412973935
9377,19,-15.952384499643813,500,-17.5002946185652,468.85,0,1.5866298799011804,10.251807217299945,1.7381310397445704,0.16954386703755714,0.242,1.2925137368570345,0.8115467467384492
9877,20,-23.446038845955627,500,-17.78342529605998,470.3333333333333,0,3.326878541718904,8.833294020593163,4.579020934767586,0.5183820355229273,0.248,2.456345706291739,0.7939422309756996
10377,21,-30.621956215305545,500,-18.366994883298414,471.6818181818182,0,2.075149436721167,10.982544268667693,2.8705042056160366,0.26136969133876853,0.296,1.0512698538711225,0.7890123839607698
10877,22,-11.18414893982117,500,-18.05469723358201,472.9130434782609,0,1.951635612900293,9.571956118941316,3.624886084314532,0.3786985689520121,0.27,2.620305063381515,0.8651151031793239
11377,23,-14.80800637503853,500,-17.919418447809367,474.0416666666667,0,1.5307953348310777,8.699140241742136,1.6897721882736354,0.19424588422720182,0.226,2.8307521348298947,0.7726774218684447
11470,24,-11.513500738568837,93,-17.663181739439747,458.8,0,1.7728043742116093,1.7364515110850334,2.202943515717688,1.2686467210023986,0.3333333333333333,2.4018377542396503,0.8062124142180318
11519,25,-10.005236672819592,49,-17.368645390723586,443.03846153846155,0,2.504679735103262,0.9462756186723712,2.952936625481661,3.1205883013499216,0.30612244897959184,2.7445261663790124,0.7161677504579226
12019,26,-59.594197983053164,500,-18.932554745995052,445.14814814814815,0,3.386341556082665,9.902974818646904,4.165364700355332,0.42061751914304757,0.28,0.5883314318715764,0.7605748862804536
12519,27,-18.911625371601986,500,-18.931807268338158,447.10714285714283,0,3.4644804681083015,9.058089877665045,4.315580781827149,0.4764338663130599,0.198,0.6088974037235223,0.8250128595766897
12581,28,-10.865556549513713,62,-18.65366069182697,433.82758620689657,0,3.601586028342188,1.192578925192356,4.149294577220586,3.479262034209878,0.4032258064516129,2.8898255883818056,0.6998739081328033
12635,29,-10.04796799144242,54,-18.366804268480816,421.1666666666667,0,1.776862240449466,0.9977937117218971,1.993824102711031,1.998232780271064,0.4074074074074074,2.254779696791767,0.699885256447882
12814,30,-12.256941457599169,179,-18.1697119197427,413.35483870967744,0,2.3062891900261753,3.0533827915787706,3.1943312947607683,1.0461614258031235,0.3128491620111732,2.8168846741834574,0.6333479665303499
13205,31,-23.903270660506678,391,-18.348885630391575,412.65625,0,2.093168659213154,7.162376701831816,3.0110911899642487,0.42040391273948857,0.26342710997442453,1.3533889334397926,0.6731681890212573
13705,32,-17.416998886023066,500,-18.320646638137983,415.3030303030303,0,5.126887660298754,6.12020557373763,4.374551861865908,0.7147720463243123,0.224,2.532741011351694,0.5208909656098467
14205,33,-12.391532562236534,500,-18.146260930023235,417.79411764705884,0,1.0074211675616453,8.351847267150887,1.7126862160578356,0.20506675484764866,0.188,1.8977309472399806,0.7461853040483051
14705,34,-71.47839770058636,500,-19.670036266325038,420.14285714285717,0,1.0991224021132286,14.930695046484455,1.859099645062125,0.12451527804124994,0.354,1.4415373380858127,0.9949967834896937
15205,35,-11.78863094954795,500,-19.451108340859008,422.3611111111111,0,3.160783728162317,6.006549270451078,3.9140379480691343,0.6516283762665613,0.292,0.19528362003638738,0.42881323776407565
15486,36,-19.913691558656865,281,-19.46361058998868,418.5405405405405,0,2.399002736545439,5.1669553846120815,3.5879354457149844,0.6944003148160249,0.47330960854092524,2.293936423771834,0.5696932845882007
15986,37,-13.212946043769989,500,-19.299119417719766,420.6842105263158,0,2.9792656400841886,8.199699161946777,3.463655301797005,0.4224124853105784,0.252,0.4022474626240868,0.6481060787049945
16486,38,-18.425606018849066,500,-19.276721638261545,422.71794871794873,0,1.8979278356743186,5.428642752766609,3.1562095801187926,0.5813993891033422,0.13,0.5455330638996925,0.8395362978946709
16986,39,-18.187013980107167,500,-19.249478946807685,424.65,0,2.708916348326906,6.436765836179254,2.7285406362396514,0.4238993161601888,0.368,1.1537877590991026,0.4322358850606219
17478,40,-26.75957061124791,492,-19.432651914233055,426.2926829268293,0,1.756276476130456,8.968141511082646,3.73994915819082,0.4170261088731782,0.2804878048780488,1.2718257774889323,0.6779086208634852
17978,41,-13.930962626429391,500,-19.301659312142494,428.04761904761904,0,2.2322446395725457,8.926527993381029,2.4639957213013597,0.27603069447924194,0.314,0.10959214154076813,0.7108991818580933
18376,42,-91.33619915484451,398,-20.976881168949514,427.3488372093023,0,1.2800013855684667,6.762140914797777,2.195314549015356,0.3246478558604553,0.32663316582914576,2.2026208796057705,0.6157537572630106
18876,43,-22.657082263764096,500,-21.01506755746803,429.0,0,5.724790127489859,8.10618304610252,2.383497432781924,0.29403449431454887,0.164,2.844511145676755,0.42060105577260554
19376,44,-17.594905452424427,500,-20.939063955133726,430.5777777777778,0,3.72687155535273,9.249518473446368,2.011189756174892,0.2174372387004405,0.264,1.711265962045981,0.5563272975967499
19876,45,-15.64913783269185,500,-20.8240655611676,432.0869565217391,0,1.4654266365484736,6.97684804797173,1.283303676217046,0.18393745533703013,0.2,2.4586796816088086,0.6141311400280687
20376,46,-17.84299886628287,500,-20.760638610212606,433.531914893617,0,2.214694478595116,4.280222350358962,2.3137789235888313,0.5405744688461771,0.056,0.1425093253709353,1.4655633816021478
20876,47,-9.897981134466136,500,-20.534333246134555,434.9166666666667,0,2.4033766655330893,6.869302023947237,3.0969413750352284,0.4508378528471899,0.322,2.03366479256054,0.4303058972339592
21376,48,-12.64312841269566,500,-20.37328824953376,436.2448979591837,0,2.525842102866699,8.429386042058473,3.3460711510707437,0.39695312735417515,0.426,2.1309091875436774,0.5216632837164618
21876,49,-14.273971778438863,500,-20.25130192011186,437.52,0,2.178238961405652,8.296911789476868,2.2227098710149082,0.2678960470369245,0.34,0.4957237531850901,0.5897576434459381
22246,50,-24.9950595817063,370,-20.344316776221557,436.19607843137254,0,1.635654347847729,5.906253173947336,3.543108841258212,0.5998911216483191,0.25135135135135134,1.0079867465569854,0.33294304236163935
22746,51,-50.152710298563306,500,-20.91755511318967,437.4230769230769,0,1.830348393568557,7.243285028636453,1.814061412804088,0.25044733234052846,0.244,2.492676918108189,0.9203787632958444
23246,52,-17.137704459346423,500,-20.846237176324703,438.60377358490564,0,3.7829101794660014,6.181921841204168,3.413123992143388,0.5521137406484179,0.202,2.3086321882747964,0.6619973353489128
23746,53,-19.83342683193041,500,-20.82748142920629,439.74074074074076,0,3.0457189661026787,11.668530042469492,3.5779936379691155,0.30663619367190487,0.36,0.4483697213206221,0.7631132822476312
24246,54,-16.567961253676913,500,-20.750035607833027,440.8363636363636,0,2.0747499448193465,5.3171991556882805,2.0496433871611837,0.38547425574016686,0.294,1.6978354460351022,0.5262928639719625
24746,55,-13.199296848880294,500,-20.615200987137445,441.89285714285717,0,2.14981648636429,5.481197723746307,2.561578317439499,0.4673391558822846,0.144,0.7734522003382396,0.8542524927962042
25246,56,-12.371349157137956,500,-20.47057200766377,442.9122807017544,0,2.188801958947841,4.371883742511271,3.0025058216319196,0.6867762270154143,0.112,2.545988783353837,0.8270275869923747
